state_abbrev,cities,population,crime_rate_per_100k
OH,Springfield,60329,2519.5179764292466
OR,Springfield,60119,2346.346412947654
MO,St. Charles,66723,1096.1737331954498
UT,St. George,75780,1225.917128529955
MO,St. Joseph,77330,1700.762963920859
TX,Sugar Land,82924,788.071004775457
FL,Sunrise,87168,1845.1725403817916
FL,Tamarac,62382,2803.3727677855786
MI,Taylor,62534,3638.820481657978
TX,Temple,68194,1060.210575710473
IN,Terre Haute,61152,1778.192046049189
NJ,Toms River Township,92131,989.6777414768104
CA,Tracy,85047,1190.4006020200595
NJ,Trenton,85317,2362.952283835578
MI,Troy,81567,613.2381968197923
CA,Tulare,60848,2927.7872732053643
CA,Turlock,69730,4160.762942779292
AL,Tuscaloosa,91973,1368.771269829189
CA,Tustin,77400,1000.0
CA,Union City,71089,2388.55519137982
NJ,Union City,67518,1917.266506709322
CA,Upland,75531,2269.9289033641817
PA,Upper Darby Township,82978,1989.8045265010003
NY,Utica,62445,3877.492193129955
CA,Vacaville,93951,1113.5591957509764
TX,Victoria,64076,3670.485049004307
NJ,Vineland,61252,1313.9162802847254
CA,Vista,96087,1837.9177203992215
CA,Walnut Creek,65816,1742.8892670475268
MA,Waltham,61725,2994.7347104090722
GA,Warner Robins,69231,1836.171657205587
RI,Warwick,82282,934.9553972922389
MI,Waterford Township,72224,1293.8912272928667
IA,Waterloo,68919,2181.2562573455793
IL,Waukegan,89468,1909.9566325390085
WI,Waukesha,71049,948.7818266266943
WI,West Allis,60870,2877.4437325447675
MI,West Bloomfield Township,65157,1794.8954064797338
CT,West Hartford,63487,1089.3568762108775
MI,Westland,83299,2278.538757968283
CA,Westminster,91908,1606.3889976933456
FL,Weston,67452,3178.4083496412254
CA,Whittier,86740,1645.3769887018682
DE,Wilmington,72088,3065.4200421706805
MN,Woodbury,63190,648.678588384238
WA,Yakima,93419,1297.1665292927562
CA,Yorba Linda,65820,2061.3795199027645
PA,York Area Regional,60732,2128.367252848581
OH,Youngstown,66567,2166.3887511830185
CA,Yuba City,65653,2735.290085753888
AZ,Yuma,95568,2416.3946090741674
TX,Abilene,119886,1497.2557262732928
OH,Akron,198390,1076.9696053228488
VA,Alexandria,145892,513.5991007046308
PA,Allentown,119334,1175.6079574974442
TX,Amarillo,196576,824.2613543871073
NY,Amherst Town,117591,308.8671752089871
MI,Ann Arbor,115008,969.2369226488593
CA,Antioch,105009,968.583645211363
CO,Arvada,109029,763.0080070439974
GA,Athens-Clarke County,117457,1667.8444026324526
IL,Aurora,199765,550.2965985032412
LA,Baton Rouge,231500,557.7105831533478
TX,Beaumont,120323,1050.6719413578453
WA,Bellevue,126022,740.5849772261987
